id,Наименование,Регулярная цена,Промо цена,Бренд
488788,"Корм сухой для взрослых кошек PURINA ONE Sterilised с курицей и цельными злаками, 1,5кг",829.99 руб.,679.99 руб.,PURINA ONE
496852,"Корм влажный для взрослых кошек FELIX Суп с курицей в соусе, 48г",18.99 руб.,18.99 руб.,FELIX
496853,"Корм влажный для взрослых кошек FELIX Суп с треской в соусе, 48г",18.99 руб.,18.99 руб.,FELIX
510872,"Лакомство для кошек DREAMIES Подушечки с мятой и курицей, 60г",89.99 руб.,79.99 руб.,DREAMIES
523796,"Корм влажный для взрослых кошек PURINA ONE Adult с говядиной и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
523836,"Корм влажный для взрослых кошек PURINA ONE Housecat с курицей и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
523837,"Корм влажный для взрослых кошек PURINA ONE Sensitive с курицей и морковью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
523867,"Корм влажный для взрослых кошек PURINA ONE Sterilised с курицей и зеленой фасолью в соусе, 75г",34.99 руб.,29.99 руб.,PURINA ONE
528569,"Корм влажный для взрослых собак PURINA ONE Mini Говядина, картофель и горох в подливе, 85г",34.99 руб.,29.99 руб.,PURINA ONE
528599,"Корм влажный для взрослых собак PURINA ONE Mini Активная Утка, паста и зеленая фасоль в подливе, 85г",34.99 руб.,29.99 руб.,PURINA ONE
543876,"Корм консервированный для взрослых собак PEDIGREE с кроликом и индейкой в соусе, для всех пород, 85г",29.99 руб.,24.99 руб.,PEDIGREE
543925,"Корм консервированный для взрослых собак PEDIGREE с говядиной в соусе, для всех пород, 85г",29.99 руб.,24.99 руб.,PEDIGREE
544071,"Корм консервированный для взрослых собак CESAR жаркое с уткой, для всех пород, 85г",37.99 руб.,37.99 руб.,CESAR
544090,"Корм консервированный для взрослых собак CESAR с говядиной и овощами, для всех пород, 85г",37.99 руб.,37.99 руб.,CESAR
544091,"Корм консервированный для взрослых собак CESAR с говядиной, кроликом в соусе со шпинатом, для всех пород, 85г",37.99 руб.,37.99 руб.,CESAR
547495,"Лакомства для собак TITBIT Золотая коллекция Колбаса Пармская, 80г",89.99 руб.,69.99 руб.,TITBIT
553059,"Лакомство для кошек DREAMIES с индейкой, 140г",179.99 руб.,149.99 руб.,DREAMIES
562447,"Корм сухой для взрослых кошек FELIX Мясное объедение с курицей, 600г",259.99 руб.,229.99 руб.,FELIX
562568,"Корм сухой для взрослых кошек FELIX Мясное объедение с говядиной, 600г",259.99 руб.,229.99 руб.,FELIX
568621,"Корм консервированный для взрослых кошек ГУРМЭ Натуральные рецепты Курица на пару с морковью, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
568662,"Корм консервированный для взрослых кошек ГУРМЭ Натуральные рецепты Томленая индейка с горошком, 75г",37.99 руб.,37.99 руб.,ГУРМЭ
569422,"Шампунь для собак и кошек WONDER LAB универсальный без запаха и аллергических реакций, 480мл",249.99 руб.,199.99 руб.,WONDER LAB
576805,"Корм консервированный для взрослых кошек WHISKAS желе с говядиной и ягненком, 75г",31.99 руб.,24.99 руб.,WHISKAS
576807,"Корм консервированный для взрослых кошек WHISKAS желе с курицей, 75г",31.99 руб.,24.99 руб.,WHISKAS
576857,"Корм консервированный для котят WHISKAS рагу с курицей 1–12 месяцев, 75г",31.99 руб.,24.99 руб.,WHISKAS
576958,"Корм консервированный для взрослых кошек WHISKAS желе с курицей и индейкой, 75г",31.99 руб.,24.99 руб.,WHISKAS
